DrugBank ID,Name,CAS Number,Drug Groups,ori_SMILES,SMILES
DB00140,Riboflavin,83-88-5,approved; investigational; nutraceutical; vet_approved,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
DB00141,N-Acetylglucosamine,7512-17-6,approved; investigational; nutraceutical,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,CC(=O)NC(C=O)C(O)C(O)C(O)CO
DB00142,Glutamic acid,56-86-0,approved; nutraceutical,N[C@@H](CCC(O)=O)C(O)=O,NC(CCC(=O)O)C(=O)O
DB00143,Glutathione,70-18-8,approved; investigational; nutraceutical,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O
DB00145,Glycine,56-40-6,approved; nutraceutical; vet_approved,NCC(O)=O,NCC(=O)O
DB00146,Calcifediol,19356-17-3,approved; nutraceutical,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O
DB00147,Pyridoxal,66-72-8,experimental; nutraceutical,CC1=NC=C(CO)C(C=O)=C1O,Cc1ncc(CO)c(C=O)c1O
DB00148,Creatine,57-00-1,approved; investigational; nutraceutical,CN(CC(O)=O)C(N)=N,CN(CC(=O)O)C(=N)N
DB00149,Leucine,61-90-5,investigational; nutraceutical,CC(C)C[C@H](N)C(O)=O,CC(C)CC(N)C(=O)O
DB00150,Tryptophan,73-22-3,approved; nutraceutical; withdrawn,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,NC(Cc1c[nH]c2ccccc12)C(=O)O
DB00151,Cysteine,52-90-4,approved; nutraceutical,N[C@@H](CS)C(O)=O,NC(CS)C(=O)O
DB00152,Thiamine,70-16-6,approved; investigational; nutraceutical; vet_approved,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
DB00153,Ergocalciferol,50-14-6,approved; nutraceutical,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C
DB00154,Dihomo-gamma-linolenic acid,1783-84-2,investigational; nutraceutical,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,CCCCCC=CCC=CCC=CCCCCCCC(=O)O
DB00155,Citrulline,372-75-8,investigational; nutraceutical,N[C@@H](CCCNC(N)=O)C(O)=O,NC(=O)NCCCC(N)C(=O)O
DB00156,Threonine,72-19-5,approved; nutraceutical,C[C@@H](O)[C@H](N)C(O)=O,CC(O)C(N)C(=O)O
DB00157,NADH,58-68-4,approved; nutraceutical,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1
DB00158,Folic acid,59-30-3,approved; nutraceutical; vet_approved,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
DB00159,Icosapent,10417-94-4,approved; nutraceutical,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O
DB00160,Alanine,56-41-7,nutraceutical,C[C@H](N)C(O)=O,CC(N)C(=O)O
DB00161,Valine,72-18-4,approved; nutraceutical,CC(C)[C@H](N)C(O)=O,CC(C)C(N)C(=O)O
DB00162,Vitamin A,68-26-8,approved; nutraceutical; vet_approved,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO
DB00163,Vitamin E,59-02-9,approved; nutraceutical; vet_approved,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
DB00165,Pyridoxine,65-23-6,approved; investigational; nutraceutical; vet_approved,CC1=C(O)C(CO)=C(CO)C=N1,Cc1ncc(CO)c(CO)c1O
DB00166,Lipoic acid,1200-22-2,approved; investigational; nutraceutical,OC(=O)CCCC[C@@H]1CCSS1,O=C(O)CCCCC1CCSS1
DB00167,Isoleucine,73-32-5,investigational; nutraceutical,CC[C@H](C)[C@H](N)C(O)=O,CCC(C)C(N)C(=O)O
DB00168,Aspartame,22839-47-0,investigational; nutraceutical,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O
DB00169,Cholecalciferol,67-97-0,approved; nutraceutical,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
DB00170,Menadione,58-27-5,approved; nutraceutical,CC1=CC(=O)C2=CC=CC=C2C1=O,CC1=CC(=O)c2ccccc2C1=O
DB00171,ATP,56-65-5,investigational; nutraceutical,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
DB00172,Proline,147-85-3,nutraceutical,OC(=O)[C@@H]1CCCN1,O=C(O)C1CCCN1
DB00173,Adenine,73-24-5,approved; nutraceutical,NC1=C2NC=NC2=NC=N1,Nc1ncnc2nc[nH]c12
DB00174,Asparagine,70-47-3,approved; investigational; nutraceutical,N[C@@H](CC(N)=O)C(O)=O,NC(=O)CC(N)C(=O)O
DB00175,Pravastatin,81093-37-0,approved,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21
DB00176,Fluvoxamine,54739-18-3,approved; investigational,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
DB00177,Valsartan,137862-53-4,approved; investigational,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C
DB00178,Ramipril,87333-19-5,approved,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21
DB00179,Masoprocol,27686-84-6,approved; investigational,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
DB00180,Flunisolide,3385-03-3,approved; investigational,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
DB00181,Baclofen,1134-47-0,approved,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,NCC(CC(=O)O)c1ccc(Cl)cc1
DB00182,Amphetamine,300-62-9,approved; illicit; investigational,CC(N)CC1=CC=CC=C1,CC(N)Cc1ccccc1
DB00184,Nicotine,54-11-5,approved,CN1CCC[C@H]1C1=CN=CC=C1,CN1CCCC1c1cccnc1
DB00185,Cevimeline,107233-08-9,approved,CC1O[C@@]2(CS1)CN1CCC2CC1,CC1OC2(CS1)CN1CCC2CC1
DB00186,Lorazepam,846-49-1,approved,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
DB00187,Esmolol,81147-92-4,approved,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
DB00188,Bortezomib,179324-69-7,approved; investigational,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
DB00189,Ethchlorvynol,113-18-8,approved; illicit; withdrawn,CCC(O)(\C=C\Cl)C#C,C#CC(O)(C=CCl)CC
DB00190,Carbidopa,28860-95-9,approved,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O
DB00191,Phentermine,122-09-8,approved; illicit,CC(C)(N)CC1=CC=CC=C1,CC(C)(N)Cc1ccccc1
DB00192,Indecainide,74517-78-5,approved,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21
DB00193,Tramadol,27203-92-5,approved; investigational,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,COc1cccc(C2(O)CCCCC2CN(C)C)c1
DB00194,Vidarabine,24356-66-9,approved; investigational,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
DB00195,Betaxolol,63659-18-7,approved; investigational,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
DB00196,Fluconazole,86386-73-4,approved; investigational,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
DB00197,Troglitazone,97322-87-7,approved; investigational; withdrawn,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
DB00198,Oseltamivir,196618-13-0,approved,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1
DB00199,Erythromycin,114-07-8,approved; investigational; vet_approved,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O
DB00201,Caffeine,58-08-2,approved,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Cn1c(=O)c2c(ncn2C)n(C)c1=O
DB00202,Succinylcholine,306-40-1,approved,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203,Sildenafil,139755-83-2,approved; investigational,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
DB00204,Dofetilide,115256-11-6,approved; investigational,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
DB00205,Pyrimethamine,58-14-0,approved; investigational; vet_approved,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
DB00206,Reserpine,50-55-5,approved; investigational,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
DB00207,Azithromycin,83905-01-5,approved,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O
DB00208,Ticlopidine,55142-85-3,approved,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,Clc1ccccc1CN1CCc2sccc2C1
DB00209,Trospium,47608-32-2,approved,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
DB00210,Adapalene,106685-40-9,approved,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
DB00211,Midodrine,42794-76-3,approved,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
DB00212,Remikiren,126222-34-2,experimental,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC1CCCCC1)C(O)C(O)C1CC1
DB00213,Pantoprazole,102625-70-7,approved,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
DB00214,Torasemide,56211-40-6,approved,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
DB00215,Citalopram,59729-33-8,approved,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
DB00216,Eletriptan,143322-58-1,approved; investigational,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
DB00217,Bethanidine,55-73-2,approved,CN\C(NCC1=CC=CC=C1)=N/C,CN=C(NC)NCc1ccccc1
DB00218,Moxifloxacin,151096-09-2,approved; investigational,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
DB00219,Oxyphenonium,14214-84-7,approved,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
DB00220,Nelfinavir,159989-64-7,approved,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C
DB00221,Isoetharine,79490-84-9,approved,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
DB00222,Glimepiride,93479-97-1,approved,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O
DB00223,Diflorasone,2557-49-5,approved,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
DB00224,Indinavir,150378-17-9,approved,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O
DB00226,Guanadrel,40580-59-4,approved,NC(N)=NCC1COC2(CCCCC2)O1,NC(N)=NCC1COC2(CCCCC2)O1
DB00227,Lovastatin,75330-75-5,approved; investigational,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
DB00228,Enflurane,13838-16-9,approved; investigational; vet_approved,FC(F)OC(F)(F)C(F)Cl,FC(F)OC(F)(F)C(F)Cl
DB00229,Cefotiam,61622-34-2,approved; investigational,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1
DB00230,Pregabalin,148553-50-8,approved; investigational,CC(C)C[C@H](CN)CC(O)=O,CC(C)CC(CN)CC(=O)O
DB00231,Temazepam,846-50-4,approved; investigational,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
DB00232,Methyclothiazide,135-07-9,withdrawn,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
DB00233,Aminosalicylic acid,65-49-6,approved,NC1=CC(O)=C(C=C1)C(O)=O,Nc1ccc(C(=O)O)c(O)c1
DB00234,Reboxetine,71620-89-8,approved; experimental,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1
DB00235,Milrinone,78415-72-2,approved,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
DB00236,Pipobroman,54-91-1,approved,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
DB00237,Butabarbital,125-40-6,approved; illicit,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00238,Nevirapine,129618-40-2,approved,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
DB00239,Oxiconazole,64211-45-6,approved,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
DB00240,Alclometasone,67452-97-5,approved,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,CC1CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO
DB00241,Butalbital,77-26-9,approved; illicit,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
DB00242,Cladribine,4291-63-8,approved; investigational,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1
DB00243,Ranolazine,95635-55-5,approved; investigational,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
DB00244,Mesalazine,89-57-6,approved,NC1=CC(C(O)=O)=C(O)C=C1,Nc1ccc(O)c(C(=O)O)c1
DB00245,Benzatropine,86-13-5,approved,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2
DB00246,Ziprasidone,146939-27-7,approved,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
DB00247,Methysergide,361-37-5,approved,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1
